table_schema,table_name,column_name,ordinal_position,data_type,is_nullable
olist,items,order_id,1,VARCHAR,YES
olist,items,item_count,2,BIGINT,YES
olist,items,seller_count,3,BIGINT,YES
olist,items,order_price_total,4,DOUBLE,YES
olist,items,order_freight_total,5,DOUBLE,YES
olist,items,order_total,6,DOUBLE,YES
olist,items,price_per_item,7,DOUBLE,YES
olist,items,freight_to_price_ratio,8,DOUBLE,YES
olist,items,mono_seller,9,BOOLEAN,YES
olist,order_items,order_id,1,VARCHAR,YES
olist,order_items,order_item_id,2,BIGINT,YES
olist,order_items,product_id,3,VARCHAR,YES
olist,order_items,seller_id,4,VARCHAR,YES
olist,order_items,shipping_limit_date,5,VARCHAR,YES
olist,order_items,price,6,DOUBLE,YES
olist,order_items,freight_value,7,DOUBLE,YES
olist,orders,order_id,1,VARCHAR,YES
olist,orders,customer_id,2,VARCHAR,YES
olist,orders,order_status,3,VARCHAR,YES
olist,orders,order_purchase_timestamp,4,TIMESTAMP_NS,YES
olist,orders,order_approved_at,5,TIMESTAMP_NS,YES
olist,orders,order_delivered_carrier_date,6,TIMESTAMP_NS,YES
olist,orders,order_delivered_customer_date,7,TIMESTAMP_NS,YES
olist,orders,order_estimated_delivery_date,8,TIMESTAMP_NS,YES
olist,orders,delivery_days,9,DOUBLE,YES
olist,orders,estimated_days,10,DOUBLE,YES
olist,orders,delay_vs_estimated,11,DOUBLE,YES
olist,orders,on_time,12,BOOLEAN,YES
olist,orders,late_days,13,DOUBLE,YES
olist,orders,prep_hours,14,DOUBLE,YES
olist,orders,transit_days,15,DOUBLE,YES
olist,orders,order_year,16,BIGINT,YES
olist,orders,order_month,17,VARCHAR,YES
olist,orders,order_week,18,BIGINT,YES
olist,orders,order_dow,19,BIGINT,YES
olist,orders,purchase_hour,20,BIGINT,YES
olist,orders,is_weekend_purchase,21,BOOLEAN,YES
olist,orders,delay_bucket,22,VARCHAR,YES
olist,orders,delivery_days_bucket,23,VARCHAR,YES
olist,products_en,product_id,1,VARCHAR,YES
olist,products_en,product_category_name,2,VARCHAR,YES
olist,products_en,product_name_lenght,3,DOUBLE,YES
olist,products_en,product_description_lenght,4,DOUBLE,YES
olist,products_en,product_photos_qty,5,DOUBLE,YES
olist,products_en,product_weight_g,6,DOUBLE,YES
olist,products_en,product_length_cm,7,DOUBLE,YES
olist,products_en,product_height_cm,8,DOUBLE,YES
