product_category_name_english,order_year,order_month,category_items,category_orders,category_gmv,category_freight
furniture_decor,2016,2016-09,2,1,72.89,63.34
health_beauty,2016,2016-09,3,1,134.97,8.49
telephony,2016,2016-09,1,1,59.5,15.56
air_conditioning,2016,2016-10,10,5,1707.0900000000001,197.81999999999994
audio,2016,2016-10,2,2,156.99,26.04
auto,2016,2016-10,10,9,1053.27,208.64000000000001
baby,2016,2016-10,14,11,1630.1600000000003,188.92000000000004
bed_bath_table,2016,2016-10,8,5,478.9899999999999,127.58999999999999
books_general_interest,2016,2016-10,1,1,119.5,25.04
books_technical,2016,2016-10,1,1,267.0,32.84
computers_accessories,2016,2016-10,21,18,1399.32,340.77000000000004
consoles_games,2016,2016-10,7,7,1032.29,122.85000000000001
cool_stuff,2016,2016-10,8,8,1111.0,216.10999999999996
diapers_and_hygiene,2016,2016-10,1,1,134.9,16.09
electronics,2016,2016-10,1,1,107.99,11.8
fashio_female_clothing,2016,2016-10,1,1,54.9,14.73
fashion_bags_accessories,2016,2016-10,9,8,508.29999999999995,148.19
fashion_male_clothing,2016,2016-10,1,1,24.9,10.96
fashion_shoes,2016,2016-10,1,1,29.99,10.96
fixed_telephony,2016,2016-10,5,5,704.88,69.57
food,2016,2016-10,1,1,79.9,16.33
furniture_decor,2016,2016-10,66,50,5067.91,1199.5699999999997
garden_tools,2016,2016-10,5,5,1359.8799999999999,105.31000000000002
health_beauty,2016,2016-10,48,44,4552.509999999999,940.8699999999997
housewares,2016,2016-10,12,9,1287.0700000000002,255.47
industry_commerce_and_business,2016,2016-10,4,3,359.6,73.96000000000001
market_place,2016,2016-10,13,7,1306.19,272.99000000000007
office_furniture,2016,2016-10,4,4,433.92,106.33
perfumery,2016,2016-10,33,30,5688.699999999999,535.14
pet_shop,2016,2016-10,4,4,689.68,86.18
sports_leisure,2016,2016-10,17,17,1384.6500000000003,323.6
telephony,2016,2016-10,10,9,500.0799999999999,133.89999999999998
toys,2016,2016-10,27,25,4465.089999999999,520.9899999999999
watches_gifts,2016,2016-10,4,4,1961.2400000000002,83.25
NULL,2016,2016-10,2,2,65.89,30.03
fashion_bags_accessories,2016,2016-12,1,1,10.9,8.72
agro_industry_and_commerce,2017,2017-01,3,2,65.97,41.79
air_conditioning,2017,2017-01,4,3,663.7,74.66
auto,2017,2017-01,34,30,5218.529999999998,625.6800000000002
baby,2017,2017-01,40,31,4463.869999999999,715.06
bed_bath_table,2017,2017-01,48,45,3960.160000000002,857.1100000000002
books_general_interest,2017,2017-01,2,2,234.89,36.66
computers_accessories,2017,2017-01,30,23,1925.1400000000006,429.4599999999999
consoles_games,2017,2017-01,19,17,3134.6600000000003,357.21
construction_tools_construction,2017,2017-01,1,1,310.0,25.0
cool_stuff,2017,2017-01,36,29,5718.869999999997,641.3099999999997
dvds_blu_ray,2017,2017-01,2,1,29.8,18.0
electronics,2017,2017-01,11,11,617.0,155.42999999999998
fashio_female_clothing,2017,2017-01,2,2,77.3,25.51
fashion_bags_accessories,2017,2017-01,35,30,1671.970000000001,464.63999999999993
fashion_male_clothing,2017,2017-01,1,1,126.9,32.21
fashion_shoes,2017,2017-01,1,1,34.9,14.11
fashion_underwear_beach,2017,2017-01,2,2,137.25,33.9
fixed_telephony,2017,2017-01,22,19,677.1200000000001,292.44000000000005
food,2017,2017-01,2,2,42.82,36.0
furniture_bedroom,2017,2017-01,8,8,73.2,75.56
